CALENDAR_YEAR,LOCATION_ID,LOCATION,ETHNICITY,EXPERIENCING_HOMELESSNESS
2017,CA-602,Orange County CoC,Not Hispanic/Latinx,6079
2017,CA-602,Orange County CoC,Unknown,327
2017,CA-603,Santa Barbara County CoC,Hispanic/Latinx,1212
2017,CA-603,Santa Barbara County CoC,Not Hispanic/Latinx,1553
2017,CA-603,Santa Barbara County CoC,Unknown,69
2017,CA-604,Kern County CoC,Hispanic/Latinx,1691
2017,CA-604,Kern County CoC,Not Hispanic/Latinx,2927
2017,CA-606,Long Beach CoC (Los Angeles County),Hispanic/Latinx,647
2017,CA-606,Long Beach CoC (Los Angeles County),Not Hispanic/Latinx,1981
2017,CA-607,Pasadena CoC (Los Angeles County),Hispanic/Latinx,525
2017,CA-607,Pasadena CoC (Los Angeles County),Not Hispanic/Latinx,745
2017,CA-607,Pasadena CoC (Los Angeles County),Unknown,122
2017,CA-608,Riverside County CoC,Hispanic/Latinx,2458
2017,CA-608,Riverside County CoC,Not Hispanic/Latinx,4145
2017,CA-608,Riverside County CoC,Unknown,44
2017,CA-609,San Bernardino County CoC,Hispanic/Latinx,2758
2017,CA-609,San Bernardino County CoC,Not Hispanic/Latinx,5627
2017,CA-609,San Bernardino County CoC,Unknown,*
2017,CA-611,Ventura County CoC,Hispanic/Latinx,995
2017,CA-611,Ventura County CoC,Not Hispanic/Latinx,938
2017,CA-611,Ventura County CoC,Unknown,*
2017,CA-612,Glendale CoC (Los Angeles County),Hispanic/Latinx,151
2017,CA-612,Glendale CoC (Los Angeles County),Not Hispanic/Latinx,211
2017,CA-612,Glendale CoC (Los Angeles County),Unknown,*
2017,CA-613,Imperial County CoC,Hispanic/Latinx,445
2017,CA-613,Imperial County CoC,Not Hispanic/Latinx,52
2017,CA-614,San Luis Obispo County CoC,Hispanic/Latinx,559
2017,CA-614,San Luis Obispo County CoC,Not Hispanic/Latinx,1116
2017,CA-614,San Luis Obispo County CoC,Unknown,36
2018,All,California,Hispanic/Latinx,71764
2018,All,California,Not Hispanic/Latinx,137746
2018,All,California,Unknown,4696
2018,CA-500,Santa Clara County CoC,Hispanic/Latinx,5257
2018,CA-500,Santa Clara County CoC,Not Hispanic/Latinx,5339
2018,CA-500,Santa Clara County CoC,Unknown,58
2018,CA-501,San Francisco CoC,Hispanic/Latinx,1530
2018,CA-501,San Francisco CoC,Not Hispanic/Latinx,3817
2018,CA-501,San Francisco CoC,Unknown,294
2018,CA-502,Alameda County CoC,Hispanic/Latinx,1242
2018,CA-502,Alameda County CoC,Not Hispanic/Latinx,5228
2018,CA-502,Alameda County CoC,Unknown,20
2018,CA-503,Sacramento County CoC,Hispanic/Latinx,2007
2018,CA-503,Sacramento County CoC,Not Hispanic/Latinx,8848
2018,CA-503,Sacramento County CoC,Unknown,28
2018,CA-504,Sonoma County CoC,Hispanic/Latinx,896
2018,CA-504,Sonoma County CoC,Not Hispanic/Latinx,2304
2018,CA-504,Sonoma County CoC,Unknown,*
2018,CA-505,Contra Costa County CoC,Hispanic/Latinx,1064
2018,CA-505,Contra Costa County CoC,Not Hispanic/Latinx,4665
2018,CA-505,Contra Costa County CoC,Unknown,75
2018,CA-506,"Monterey, San Benito Counties CoC",Hispanic/Latinx,1538
2018,CA-506,"Monterey, San Benito Counties CoC",Not Hispanic/Latinx,976
2018,CA-506,"Monterey, San Benito Counties CoC",Unknown,*
2018,CA-507,Marin County CoC,Hispanic/Latinx,251
2018,CA-507,Marin County CoC,Not Hispanic/Latinx,1054
2018,CA-507,Marin County CoC,Unknown,21
2018,CA-508,Santa Cruz County CoC,Hispanic/Latinx,691
2018,CA-508,Santa Cruz County CoC,Not Hispanic/Latinx,1128
2018,CA-508,Santa Cruz County CoC,Unknown,70
2018,CA-509,Mendocino County CoC,Hispanic/Latinx,79
2018,CA-509,Mendocino County CoC,Not Hispanic/Latinx,488
2018,CA-509,Mendocino County CoC,Unknown,21
2018,CA-510,Stanislaus County CoC,Hispanic/Latinx,2652
2018,CA-510,Stanislaus County CoC,Not Hispanic/Latinx,3488
2018,CA-510,Stanislaus County CoC,Unknown,*
2018,CA-511,San Joaquin County CoC,Hispanic/Latinx,3429
2018,CA-511,San Joaquin County CoC,Not Hispanic/Latinx,7374
2018,CA-511,San Joaquin County CoC,Unknown,39
2018,CA-512,San Mateo County CoC,Hispanic/Latinx,1517
2018,CA-512,San Mateo County CoC,Not Hispanic/Latinx,2734
2018,CA-512,San Mateo County CoC,Unknown,19
2018,CA-513,"Kings, Tulare Counties CoC",Hispanic/Latinx,1497
2018,CA-513,"Kings, Tulare Counties CoC",Not Hispanic/Latinx,1456
2018,CA-513,"Kings, Tulare Counties CoC",Unknown,16
2018,CA-514,"Fresno, Madera Counties CoC",Hispanic/Latinx,997
2018,CA-514,"Fresno, Madera Counties CoC",Not Hispanic/Latinx,1389
2018,CA-514,"Fresno, Madera Counties CoC",Unknown,35
2018,CA-515,Placer County CoC,Hispanic/Latinx,293
2018,CA-515,Placer County CoC,Not Hispanic/Latinx,1175
2018,CA-515,Placer County CoC,Unknown,12
2018,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Hispanic/Latinx,38
2018,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Not Hispanic/Latinx,485
2018,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Unknown,92
2018,CA-517,Napa County CoC,Hispanic/Latinx,328
2018,CA-517,Napa County CoC,Not Hispanic/Latinx,604
2018,CA-517,Napa County CoC,Unknown,*
2018,CA-518,Solano County CoC,Hispanic/Latinx,170
2018,CA-518,Solano County CoC,Not Hispanic/Latinx,719
2018,CA-518,Solano County CoC,Unknown,14
2018,CA-519,Butte County CoC,Hispanic/Latinx,181
2018,CA-519,Butte County CoC,Not Hispanic/Latinx,1304
2018,CA-519,Butte County CoC,Unknown,*
2018,CA-520,Merced County CoC,Hispanic/Latinx,298
2018,CA-520,Merced County CoC,Not Hispanic/Latinx,609
2018,CA-520,Merced County CoC,Unknown,*
